country_code,country,region,year,population,income_per_capita,life_expectancy,fertility_rate,child_mortality,co2_per_capita,people_in_poverty,traffic_deaths,internet_users,cell_phones_total
afg,Afghanistan,South Asia,2000,20130327.0,2.5963,61.2,7.57,129.18,0.037,14581635.0,21.86,,
afg,Afghanistan,South Asia,2005,24404567.0,3.3766,63.8,6.86,108.38,0.052,15399393.0,19.81,1.22415,1200000.0
afg,Afghanistan,South Asia,2010,28284089.0,5.1846,65.6,6.2,87.76,0.29,13226894.0,20.75,4.0,10215840.0
afg,Afghanistan,South Asia,2015,33831764.0,5.4014,66.3,5.65,70.45,0.262,14194455.0,22.19,8.26,19709038.0
afg,Afghanistan,South Asia,2020,39068979.0,5.041,64.6,5.15,59.08,0.261,16648682.0,22.65,17.0485,22678024.0
alb,Albania,Europe & Central Asia,2000,3166148.0,8.5658,75.1,2.22,27.22,1.279,140020.0,8.98,0.1141,29791.0
alb,Albania,Europe & Central Asia,2005,3076159.0,9.7539,76.3,1.79,19.98,1.912,91270.0,9.57,6.04389,1530244.0
alb,Albania,Europe & Central Asia,2010,2928722.0,10.4012,78.1,1.65,13.26,2.262,47947.0,8.18,45.0,2692372.0
alb,Albania,Europe & Central Asia,2015,2898632.0,13.0307,78.5,1.63,9.56,2.041,42010.0,7.55,56.9,3400955.0
alb,Albania,Europe & Central Asia,2020,2871954.0,14.8472,77.4,1.37,9.75,2.004,13143.0,6.83,72.23768,2618880.0
dza,Algeria,Middle East & North Africa,2000,30903893.0,8.7406,72.2,2.59,39.7,2.819,2440946.0,30.44,0.49171,86000.0
dza,Algeria,Middle East & North Africa,2005,33109249.0,9.4813,73.7,2.56,33.56,3.215,1171956.0,28.4,5.8439,13661355.0
dza,Algeria,Middle East & North Africa,2010,36188236.0,10.2848,74.5,2.88,27.43,3.277,241446.0,25.59,12.5,32780165.0
dza,Algeria,Middle East & North Africa,2015,40019529.0,10.8801,75.1,3.09,25.17,3.797,3321.0,21.27,38.2,43227643.0
dza,Algeria,Middle East & North Africa,2020,44042091.0,10.1338,74.7,2.94,22.69,3.694,22442.0,18.42,63.4727,45555673.0
and,Andorra,Europe & Central Asia,2000,65685.0,52.0255,80.8,1.27,8.16,8.019,1.0,11.26,10.53884,23543.0
