,date,type,year,avg_price,size,nb_sold
0,2015-12-27,conventional,2015,0.95,small,9.63E+06
1,2015-12-20,conventional,2015,0.98,small,8.71E+06
2,2015-12-13,conventional,2015,0.93,small,9.86E+06
3,2015-12-06,conventional,2015,0.89,small,9.41E+06
4,2015-11-29,conventional,2015,0.99,small,8.10E+06
5,2015-11-22,conventional,2015,0.96,small,8.57E+06
6,2015-11-15,conventional,2015,0.92,small,9.91E+06
7,2015-11-08,conventional,2015,0.97,small,9.99E+06
8,2015-11-01,conventional,2015,0.97,small,1.01E+07
9,2015-10-25,conventional,2015,1.04,small,8.68E+06
10,2015-10-18,conventional,2015,0.99,small,9.16E+06
11,2015-10-11,conventional,2015,1,small,8.83E+06
12,2015-10-04,conventional,2015,1.02,small,8.35E+06
13,2015-09-27,conventional,2015,1.03,small,8.45E+06
14,2015-09-20,conventional,2015,1.02,small,9.42E+06
15,2015-09-13,conventional,2015,1.03,small,9.88E+06
16,2015-09-06,conventional,2015,1.02,small,1.26E+07
17,2015-08-30,conventional,2015,1.07,small,1.17E+07
18,2015-08-23,conventional,2015,1.08,small,1.13E+07
19,2015-08-16,conventional,2015,1.05,small,1.27E+07
20,2015-08-09,conventional,2015,1.05,small,1.30E+07
21,2015-08-02,conventional,2015,1.09,small,1.21E+07
22,2015-07-26,conventional,2015,1.07,small,1.22E+07
23,2015-07-19,conventional,2015,1.07,small,1.27E+07
24,2015-07-12,conventional,2015,1.07,small,1.24E+07
25,2015-07-05,conventional,2015,1.04,small,1.56E+07
26,2015-06-28,conventional,2015,1.06,small,1.33E+07
27,2015-06-21,conventional,2015,1.02,small,1.47E+07
28,2015-06-14,conventional,2015,0.98,small,1.64E+07
29,2015-06-07,conventional,2015,1,small,1.65E+07
30,2015-05-31,conventional,2015,1.03,small,1.55E+07
31,2015-05-24,conventional,2015,1.04,small,1.60E+07
32,2015-05-17,conventional,2015,1.06,small,1.46E+07
33,2015-05-10,conventional,2015,1.02,small,1.62E+07
34,2015-05-03,conventional,2015,0.96,small,1.78E+07
35,2015-04-26,conventional,2015,1.07,small,1.38E+07
36,2015-04-19,conventional,2015,1.03,small,1.43E+07
37,2015-04-12,conventional,2015,1.02,small,1.48E+07
38,2015-04-05,conventional,2015,1.06,small,1.39E+07
39,2015-03-29,conventional,2015,1.04,small,1.25E+07
40,2015-03-22,conventional,2015,1.01,small,1.37E+07
41,2015-03-15,conventional,2015,1.04,small,1.32E+07
42,2015-03-08,conventional,2015,1.02,small,1.30E+07
43,2015-03-01,conventional,2015,0.97,small,1.33E+07
44,2015-02-22,conventional,2015,1.02,small,1.26E+07
45,2015-02-15,conventional,2015,1.03,small,1.26E+07
46,2015-02-08,conventional,2015,0.95,small,1.33E+07
47,2015-02-01,conventional,2015,0.89,small,1.89E+07
48,2015-01-25,conventional,2015,1.04,small,1.22E+07
49,2015-01-18,conventional,2015,1.03,small,1.19E+07
50,2015-01-11,conventional,2015,1.01,small,1.15E+07
51,2015-01-04,conventional,2015,0.95,small,1.24E+07
52,2016-12-25,conventional,2016,1,small,9.26E+06
53,2016-12-18,conventional,2016,0.96,small,9.39E+06
54,2016-12-11,conventional,2016,0.98,small,9.01E+06
55,2016-12-04,conventional,2016,1,small,1.10E+07
56,2016-11-27,conventional,2016,1.21,small,7.89E+06
57,2016-11-20,conventional,2016,1.27,small,8.53E+06
