DATE,CONFIRM,RELEASE,QUARANT,DEATH,TOTAL_TEST,UNDER_TEST,NEGATIVE,AVAR16,AVAR1,AVAR2,AVAR3,AVAR4,AVAR5,AVAR6,AVAR7,AVAR8,AVAR9,AVAR10,AVAR11,MALE,FEMALE,AGE00,AGE10,AGE20,AGE30,AGE40,AGE50,AGE60,AGE70,AGE80_above,AVAR12,AVER13,AVAR14,AVAR15,SEOUL,BUSAN,DAEGU,INCHEON,GWANGJU,DAEJEON,ULSAN,SEJONG,GYEONGGI,GANGWON,CHUNGBUK,CHUNGNAM,JEONBUK,JEONNAM,GYEONGBUK,GYEONGNAM,JEJU,Lazaretto
20JAN20,1,0,1,0,,,,,,,,,,,,,0,,,0,1,0,0,0,1,0,0,0,0,0,1,0,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21JAN20,1,0,1,0,,,,,0,0,0,0,,,,,0,,0,0,1,0,0,0,1,0,0,0,0,0,1,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22JAN20,1,0,1,0,,,,,0,0,0,0,,,,,0,,0,0,1,0,0,0,1,0,0,0,0,0,1,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23JAN20,1,0,1,0,,,,,0,0,0,0,,,,,0,,0,0,1,0,0,0,1,0,0,0,0,0,1,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24JAN20,2,0,2,0,,,,,1,1,1,1,,,,,0,,0,1,1,0,0,0,1,0,1,0,0,0,1,1,,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25JAN20,2,0,2,0,,,,,0,0,0,0,,,,,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26JAN20,3,0,3,0,,,,,1,0.5,1,0.5,,,,,0,,0,2,1,0,0,0,1,0,2,0,0,0,1,2,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
27JAN20,4,0,4,0,,,,,1,0.3333333333,1,0.3333333333,,,,,0,1,0,3,1,0,0,0,1,0,3,0,0,0,1,3,0.5,0,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0
28JAN20,4,0,4,0,,,,,0,0,0,0,,,,,0,0,0,3,1,0,0,0,1,0,3,0,0,0,1,3,0,0,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0
29JAN20,4,0,4,0,,,,,0,0,0,0,,,,,0,,0,3,1,0,0,0,1,0,3,0,0,0,1,3,0,0,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0
30JAN20,6,0,6,0,,,,,2,0.5,2,0.5,,,,,0,,0,6,1,0,0,1,2,0,4,0,0,0,3,4,1,0,4,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0
31JAN20,11,0,11,0,,,,,5,0.8333333333,5,0.8333333333,,,,,0,2.5,0,7,4,0,0,3,2,0,5,1,0,0,5,6,0.1666666667,3,7,0,0,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0
01FEB20,12,0,12,0,,,,,1,0.0909090909,1,0.0909090909,,,,,0,0.2,0,8,4,0,0,3,2,1,5,1,0,0,6,6,0.1428571429,0,7,0,0,1,0,0,0,0,3,0,0,0,1,0,0,0,0,0
02FEB20,15,0,15,0,,,,,3,0.25,3,0.25,,,,,0,3,0,10,5,0,0,4,2,3,5,1,0,0,9,6,0.25,0.25,7,0,0,1,0,0,0,0,5,0,0,0,1,0,0,0,0,0
03FEB20,15,0,15,0,,,,,0,0,0,0,,,,,0,0,0,10,5,0,0,4,2,3,5,1,0,0,9,6,0,0,7,0,0,1,0,0,0,0,5,0,0,0,1,0,0,0,0,0
04FEB20,16,0,16,0,,,,,1,0.0666666667,1,0.0666666667,,,,,0,,0,10,6,0,0,4,2,4,5,1,0,0,10,6,0,0.2,7,0,0,1,1,0,0,0,5,0,0,0,1,0,0,0,0,0
